Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Social Services,311 Reports for 235 E 4th St,Social-Services/311-Reports-for-235-E-4th-St/qvr2-gw69,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Geoff,http://data.cityofnewyork.us/api/users/byhk-5qmm,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,cb3 complaints 2010-2014 I Davis,Social-Services/cb3-complaints-2010-2014-I-Davis/rigs-jeba,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,MBPOcuny,http://data.cityofnewyork.us/api/users/34tj-5ksd,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,From 2011 to 2012,Social-Services/From-2011-to-2012/t7wh-j3je,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,alexremington,http://data.cityofnewyork.us/api/users/uwnu-t439,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,CB6 Bar Graph Test 1,Social-Services/CB6-Bar-Graph-Test-1/wz6a-qtix,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,MichaelPCapik,http://data.cityofnewyork.us/api/users/n6se-tpgd,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
NYC BigApps,11218 Pedestrian Injuries 2013-14,NYC-BigApps/11218-Pedestrian-Injuries-2013-14/d5uj-56p2,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,lesliedna,http://data.cityofnewyork.us/api/users/4vrz-5375,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
NYC BigApps,Vehicle Collisions Injury and Death Numbers with Conditional Formatting,NYC-BigApps/Vehicle-Collisions-Injury-and-Death-Numbers-with-C/i3dh-hpym,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Joey Vochek,http://data.cityofnewyork.us/api/users/cvvb-eknn,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
NYC BigApps,Coney Island,NYC-BigApps/Coney-Island/izv8-n4f2,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,wjfarrell,http://data.cityofnewyork.us/api/users/nf9g-k2i8,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
NYC BigApps,Brooklyn June 2012-June 2014,NYC-BigApps/Brooklyn-June-2012-June-2014/mdgw-ibie,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Serena,http://data.cityofnewyork.us/api/users/4rxv-tve7,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
NYC BigApps,pedestrians injured in bronx cd 6 from 7/2/12 to 10/30/14,NYC-BigApps/pedestrians-injured-in-bronx-cd-6-from-7-2-12-to-1/t3a4-5e9g,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Zach Wasser,http://data.cityofnewyork.us/api/users/jnne-7bu2,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
City Government,DOP Adult Supervision Passthrough by Calendar Year,City-Government/DOP-Adult-Supervision-Passthrough-by-Calendar-Year/3av7-txd8,Department of Probation (DOP),"The sum of: the number of cases on the first day of the reporting period, plus all cases added during the reporting period.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dop, probation, adult supervision, passthrough, calendar year"
Environment,CATS Permits,Environment/CATS-Permits/f4rp-2kvy,Department of Environmental Protection (DEP),Contains information on current boiler and industrial operation permits in New York City registered with  DEP.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"cats, permits, boiler, environment"
Education,Anticipated RFP,Education/Anticipated-RFP/p8e4-uwuv,School Construction Authority (SCA),List of upcoming Requests for Proposals,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"sca, rfp"
Social Services,cb5,Social-Services/cb5/djsb-jctj,311,311 Service Requests for 2008. This is historical data and will not be updated.,Billy Rennison,http://data.cityofnewyork.us/api/users/6sp6-s2av,"311, 311 service requests, 2008, all service requests"
Social Services,Noise/StreetNoise/Commercial_Noise_Manhattan_7/09/2006,Social-Services/Noise-StreetNoise-Commercial_Noise_Manhattan_7-09-/52r2-6t4f,311,311 Service Requests for 2006. This is historical data and will not be updated.,Trafalgor,http://data.cityofnewyork.us/api/users/tm6a-hbew,"311, 311 service requests, 2006, all service requests"
Social Services,2004_rollup,Social-Services/2004_rollup/m5dr-i2r5,311,311 Service Requests for 2004. This is historical data and will not be updated.,jchen85,http://data.cityofnewyork.us/api/users/wa7s-w2pp,"311, 311 service requests, 2004, all service requests"
Social Services,Lower Manhattan,Social-Services/Lower-Manhattan/fxqn-s5ig,Department for the Aging (DFTA),Directory of Senior Centers,kmischik,http://data.cityofnewyork.us/api/users/58fw-ajfu,"department for the aging, dfta, senior citizen, elderly, aging, directory"
,Ocean Pkwy Green Cabs,dataset/Ocean-Pkwy-Green-Cabs/cae6-rwn7,Taxi and Limousine Commission (TLC),"Click this link for use instructions :  
http://www.nyc.gov/html/tlc/downloads/pdf/open_data_instructions_base_finder.pdf",DOE_Employee,http://data.cityofnewyork.us/api/users/kk6h-pag8,
,view 1,dataset/view-1/epq7-iumz,Taxi and Limousine Commission (TLC),"Click this link for use instructions :  
http://www.nyc.gov/html/tlc/downloads/pdf/open_data_instructions_base_finder.pdf",nabhjee@gmail.com,http://data.cityofnewyork.us/api/users/vmz4-bw56,
Transportation,21st Street & Jackson Avenue,Transportation/21st-Street-Jackson-Avenue/urkj-jb5q,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,Nancy Nizza,http://data.cityofnewyork.us/api/users/4ite-q8ir,
Environment,Street Tree Count,Environment/Street-Tree-Count/twem-qu4t,Department of Parks and Recreation (DPR),"Manhattan street tree census inventory

Update Frequency: As Needed",Frank Cabral,http://data.cityofnewyork.us/api/users/8vd6-e39m,
Housing & Development,school funding,Housing-Development/school-funding/yqk7-54y9,School Construction Authority (SCA),New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.,nitendo2046,http://data.cityofnewyork.us/api/users/2hei-4ffn,"school, construction, authority, sca, capital, improvement, project, current, education"
Housing & Development,Vacant Property 45th District,Housing-Development/Vacant-Property-45th-District/7ved-hzsw,Department of Citywide Administrative Services (DCAS),Database of City-owned properties and private properties that the City leases for City agency use.,Dana,http://data.cityofnewyork.us/api/users/uu6s-rxyy,"property, finance, lease, agency, city-owned, private, consumer affairs, dcas, administrative services"
Environment,Acceptable Double Check Detector Assemblies,Environment/Acceptable-Double-Check-Detector-Assemblies/muaz-gc29,Department of Environmental Protection (DEP),List of acceptable double detector assemblies.  Refer to the following report for more details http://www.nyc.gov/html/dep/pdf/water_sewer/42_doh_supplement.pdf,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"acceptable double check detector assemblies, dep, department of environmental protection (dep)"
Environment,Acceptable Reduced Pressure Detector Assemblies,Environment/Acceptable-Reduced-Pressure-Detector-Assemblies/4fif-5bmt,Department of Environmental Protection (DEP),Acceptable Reduced Pressure Detector Assemblies.  Refer to the following report for additional details http://www.nyc.gov/html/dep/pdf/water_sewer/42_doh_supplement.pdf,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"acceptable reduced pressure detector assemblies, department of environmental protection (dep)"
City Government,"NYC Independent Budget Office (IBO) State And Federal Categorical Aid, FY 1980 - 2013",City-Government/NYC-Independent-Budget-Office-IBO-State-And-Federa/fu34-wamz,NYC Independent Budget Office (IBO),"Annual state and federal categorical aid by purpose of grant, from FY 1980 through FY 2013",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"nyc independent budget office (ibo) state and federal categorical aid, fy 1980 - 2013, general government, public safety and judicial, education, senior colleges, community college, hunter campus schools, city university, social services, environmental protection, transportation services, parks recreation and cultural activities, housing, health, libraries, general debt service fund, fema debris removal insurance program"
City Government,test,City-Government/test/37ne-abdc,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",LegalLaw4U,http://data.cityofnewyork.us/api/users/7rjd-58rm,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,ECB Violations - BBL Only,City-Government/ECB-Violations-BBL-Only/hcx4-fk3d,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",Dmitry Oulianov,http://data.cityofnewyork.us/api/users/8ith-7q3n,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,1900-1984,City-Government/1900-1984/xp4t-wh37,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",XXX,http://data.cityofnewyork.us/api/users/wc9g-izk2,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
Transportation,Debbi,Transportation/Debbi/fscp-tfbt,Taxi and Limousine Commission (TLC),This list contains the most recently published active  medallion drivers list. This is a list of licensees who are currently authorized to operate NYC TLC licensed Taxicabs. The old data set is no longer being updated but can be accessed from the link given below to access data from 03/07/2013 through 01/04/2014 https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/n776-dsqy. A new Change Log containing changes in status from 10/28/2013 onwards can be found at https://data.cityofnewyork.us/Transportation/TLC-MEDALLION-ACTIVE-Historical-Data/sjfe-fppp,debra,http://data.cityofnewyork.us/api/users/7m9w-vyrx,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Transportation,jim,Transportation/jim/mk72-278z,Taxi and Limousine Commission (TLC),This list contains the most recently published active  medallion drivers list. This is a list of licensees who are currently authorized to operate NYC TLC licensed Taxicabs. The old data set is no longer being updated but can be accessed from the link given below to access data from 03/07/2013 through 01/04/2014 https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/n776-dsqy. A new Change Log containing changes in status from 10/28/2013 onwards can be found at https://data.cityofnewyork.us/Transportation/TLC-MEDALLION-ACTIVE-Historical-Data/sjfe-fppp,jameel,http://data.cityofnewyork.us/api/users/mz6q-4ye7,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Health,Bakery,Health/Bakery/eh9w-kuvr,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",Robb Shecter,http://data.cityofnewyork.us/api/users/iyr8-6xcq,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Health,foodresultsnearlowerbroadway,Health/foodresultsnearlowerbroadway/gutu-vv9z,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",alexgadea,http://data.cityofnewyork.us/api/users/5eqa-w9kv,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Health,"Restaurants with inspection in last year, April 2015",Health/Restaurants-with-inspection-in-last-year-April-201/hqka-wapb,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",Grant Pezeshki,http://data.cityofnewyork.us/api/users/mnqk-qsd2,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Health,around school,Health/around-school/mwed-fg39,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",shqyking,http://data.cityofnewyork.us/api/users/d767-2b3k,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Social Services,10029,Social-Services/10029/7qr4-s6qh,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Derick,http://data.cityofnewyork.us/api/users/b5cs-7hrf,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,010113 GROUP5:NOISE-PARK,Social-Services/010113-GROUP5-NOISE-PARK/9ga2-r2ma,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Prof Fibkins,http://data.cityofnewyork.us/api/users/kk9a-t2z4,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Dropped Vars_311,Social-Services/Dropped-Vars_311/ed4j-ju76,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,kpecorelli,http://data.cityofnewyork.us/api/users/higp-fcje,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,afterOct_set,Social-Services/afterOct_set/f9ec-az8x,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Theo,http://data.cityofnewyork.us/api/users/ehrs-96xy,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,noise-complaints,Social-Services/noise-complaints/fqsw-yntt,311,NYC Noise complaints for 2012,Chang Yang,http://data.cityofnewyork.us/api/users/d3ia-5dam,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,MW,Social-Services/MW/kz8x-84sd,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,mtwalsh,http://data.cityofnewyork.us/api/users/7ixx-p72e,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Coney Island (2011 only),Social-Services/Coney-Island-2011-only-/r7sj-2s7x,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Livia,http://data.cityofnewyork.us/api/users/x7i2-b4xh,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311_2013 and after,Social-Services/311_2013-and-after/rnnm-hvgg,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Joel Natividad,http://data.cityofnewyork.us/api/users/mkvj-vxjf,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,traffic light complaint,Social-Services/traffic-light-complaint/sf4a-iv53,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Zach Whitman,http://data.cityofnewyork.us/api/users/dbfp-gxff,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Asbestos 10/29/12-9/29/13,Social-Services/Asbestos-10-29-12-9-29-13/ydba-zte3,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Mariah Chen,http://data.cityofnewyork.us/api/users/27yx-dprk,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,ratsnewyork,Social-Services/ratsnewyork/yv5u-uu2f,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Andi Bonner,http://data.cityofnewyork.us/api/users/hu6h-4qmt,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Housing & Development,TangoM2,Housing-Development/TangoM2/kpqv-ruuu,Department of Buildings (DOB),A list of permits issued for a particular day and associated data. Prior weekly and monthly reports are archived at DOB and are not available on NYC Open Data.,darioq,http://data.cityofnewyork.us/api/users/f45p-px6b,"permit, dob, buildings"
NYC BigApps,Vehicle Collisions Injury and Death Numbers with Conditional Formatting,NYC-BigApps/Vehicle-Collisions-Injury-and-Death-Numbers-with-C/4za3-49hh,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Caity Park,http://data.cityofnewyork.us/api/users/876b-gexb,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
NYC BigApps,Vehicle Collisions Injury and Death Numbers,NYC-BigApps/Vehicle-Collisions-Injury-and-Death-Numbers/gbrh-ui36,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,weaahh,http://data.cityofnewyork.us/api/users/x58q-z4hz,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
City Government,DOP Adult Supervision Passthrough by Fiscal Year,City-Government/DOP-Adult-Supervision-Passthrough-by-Fiscal-Year/9ev8-8rz6,Department of Probation (DOP),"The sum of: the number of cases on the first day of the reporting period, plus all cases added during the reporting period.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dop, probation, adult supervision, passthrough, fiscal year"
City Government,DOP Adult Supervision Intakes by Calendar Year,City-Government/DOP-Adult-Supervision-Intakes-by-Calendar-Year/az65-9z36,Department of Probation (DOP),The number of adults sentenced to probation supervision during the reporting period.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dop, intakes, calendar year, adults"
City Government,Derelict Vehicles Dispositions - Complaints,City-Government/Derelict-Vehicles-Dispositions-Complaints/pq5i-thsu,Department of Sanitation (DSNY),"Data for removing derelict vehicle operations from city streets, Gives disposition (complaints) of derelict vehicles reported to DSNY from 311.

https://data.cityofnewyork.us/City-Government/Derelict-Vehicle-Dispositions-Tow/vr8p-8shw
https://data.cityofnewyork.us/City-Government/Derelict-Vehicle-Dispositions-Vehicles/bjuu-44hx
https://data.cityofnewyork.us/City-Government/Derelict-Vehicles-Dispositions-Rentals/v6j6-k9uc",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,
Health,Washington Heights - Inwood doctors who participate in Regional Electronic Adoption Center for Health (REACH),Health/Washington-Heights-Inwood-doctors-who-participate-/862w-5fhd,Department of Health and Mental Hygiene (DOHMH),"The location and facility information for doctors who participate in NYC Regional Electronic Adoption Center for Health (REACH), which assists providers in adopting technology and methods for electronic health records.",C Lien,http://data.cityofnewyork.us/api/users/7pnd-6dni,"ehr, electronic health record, doctor, location, record, health"
Housing & Development,Harlem,Housing-Development/Harlem/ex7x-zcdc,Department of Information Technology & Telecommunications (DoITT),This is the payphone location data from January 2013.,scoular,http://data.cityofnewyork.us/api/users/pw95-urwc,
City Government,borough Boundaries,City-Government/borough-Boundaries/mhh4-neby,Department of City Planning (DCP),GIS data: Boundaries of Boroughs (water areas excluded),BrentDixon,http://data.cityofnewyork.us/api/users/hf7t-dc4p,
Education,Bronx 2006,Education/Bronx-2006/pfsu-xrv9,Department of Education (DOE),"Graduation Outcomes - 4 Year Outcome - Cohorts of 2001 through 2006 (Classes of 2005 through 2010) 

•The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005). The cohort consists of all students who first entered 9th grade in a given school year (e.g., the Cohort of 2006 entered 9th grade in the 2006-2007 school year). Graduates are defined as those students earning either a Local or Regents diploma and exclude those earning either a special education (IEP) diploma or GED. For the most recent cohort, graduation rates as of both June and August (including summer graduates) are reported. 

•Records with cohorts of 20 students or less are suppressed. August outcomes are only reported for the most recent cohort. 

•August outcomes include all June and August graduates. 

•In school-level reporting, students who were in a school for less than 5 months are not included in the school’s cohort, but are included in citywide totals. 

•School level results are not presented for District 79 schools, but their outcomes are included in citywide totals.",Gdeards,http://data.cityofnewyork.us/api/users/sq3q-v8hy,
Environment,newyork trees,Environment/newyork-trees/wjai-duts,Department of Parks and Recreation (DPR),"Manhattan street tree census inventory

Update Frequency: As Needed",cityofnewyorksy,http://data.cityofnewyork.us/api/users/2h8b-di3s,
Environment,w,Environment/w/2pzz-ha77,Mayor's Office of Long Term Planning and Sustainability (OLTPS),This is the 100-Year Floodplain for the 2020s based on FEMA's Preliminary Work Map data and the New York Panel on Climate Change's 90th Percentile Projects for Sea-Level Rise (11 inches).  Please see the Disclaimer PDF for more information. Data Provided by the Mayor's Office of Long-Term Planning and Sustainability (OLTPS) on behalf of CUNY Institute for Sustainable Cities (CISC) and the New York Panel on Climate Change (NPCC).,jsproule,http://data.cityofnewyork.us/api/users/g8dt-a9rw,
Public Safety,nypd_precincts,Public-Safety/nypd_precincts/th3u-wfy6,Department of City Planning (DCP),GIS data: Boundaries of Police Precincts,Remy Stern,http://data.cityofnewyork.us/api/users/rrux-gejq,
NYC BigApps,Energy Prices Per Physical Unity by Sector: Beginning 1970,NYC-BigApps/Energy-Prices-Per-Physical-Unity-by-Sector-Beginni/vdkk-sqws,NYC ACRE,Data to solve NYC ACRE's BigIdea,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"#nycacre, #environment, #business, bigapps, big apps"
Education,English Language Arts (ELA) Test Results by Grade 2006-2011 - Citywide - by English Proficiency Status,Education/English-Language-Arts-ELA-Test-Results-by-Grade-20/yjsf-89ae,Department of Education (DOE),"New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
City Government,ECB-Data-2009-2012,City-Government/ECB-Data-2009-2012/47kh-x3x4,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",Nipan,http://data.cityofnewyork.us/api/users/i2nu-5tik,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,132,City-Government/132/npnr-mymu,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",A Weiss,http://data.cityofnewyork.us/api/users/kuvp-gnbj,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,ECB 1994,City-Government/ECB-1994/p57s-hh47,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",Maharana,http://data.cityofnewyork.us/api/users/dytz-t438,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,ECB Data -1985-1988,City-Government/ECB-Data-1985-1988/pgix-c3qa,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",Nipan,http://data.cityofnewyork.us/api/users/i2nu-5tik,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,East TC ECB 2013,City-Government/East-TC-ECB-2013/sxv3-je6y,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",Jim Crocker,http://data.cityofnewyork.us/api/users/azhs-wpe9,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,ECB 1987,City-Government/ECB-1987/ybay-hdp7,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",Maharana,http://data.cityofnewyork.us/api/users/dytz-t438,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
Transportation,hilaire jean jr,Transportation/hilaire-jean-jr/fnbn-ymbe,Taxi and Limousine Commission (TLC),This list contains the most recently published active  medallion drivers list. This is a list of licensees who are currently authorized to operate NYC TLC licensed Taxicabs. The old data set is no longer being updated but can be accessed from the link given below to access data from 03/07/2013 through 01/04/2014 https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/n776-dsqy. A new Change Log containing changes in status from 10/28/2013 onwards can be found at https://data.cityofnewyork.us/Transportation/TLC-MEDALLION-ACTIVE-Historical-Data/sjfe-fppp,hilaire jean jr,http://data.cityofnewyork.us/api/users/jx6v-49xa,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Health,Inspection Report (Use),Health/Inspection-Report-Use-/g7zz-2495,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",cleanfreaknyc,http://data.cityofnewyork.us/api/users/b2i4-36yn,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Social Services,Upper West Side Zip Codes 2010,Social-Services/Upper-West-Side-Zip-Codes-2010/3ps2-kn9v,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Livia,http://data.cityofnewyork.us/api/users/x7i2-b4xh,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
